test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_124_001,Tap the 'Waist to Height Ratio' title,Health and Fitness,124,list,P2,Functional,,,Step 1: Tap the 'Waist to Height Ratio' title,The screen remains unchanged
TC_124_002,Enter '26' into the age field,Health and Fitness,124,list,P2,Functional,,Age: 26,Step 1: Enter '26' into the age field,'26' remains visible in the age field
TC_124_003,Enter '-1' into the age field,Health and Fitness,124,list,P3,Negative,,Age: -1,Step 1: Enter '-1' into the age field,The age field displays an error message
TC_124_004,Select 'CM' in the units selection button,Health and Fitness,124,list,P2,Functional,,Unit: CM | KG,Step 1: Tap the 'CM | KG' button,'CM' is selected in the units selection button
TC_124_006,Enter '6' into the waist field,Health and Fitness,124,list,P2,Functional,,Waist: 6 cm,Step 1: Enter '6' into the waist field,'6 cm' remains visible in the waist field
TC_124_007,Enter '-1' into the waist field,Health and Fitness,124,list,P3,Negative,,Waist: -1 cm,Step 1: Enter '-1' into the waist field,The waist field displays an error message
TC_124_008,Enter '6' into the height field,Health and Fitness,124,list,P2,Functional,,Height: 6 cm,Step 1: Enter '6' into the height field,'6 cm' remains visible in the height field
TC_124_009,Enter '-1' into the height field,Health and Fitness,124,list,P3,Negative,,Height: -1 cm,Step 1: Enter '-1' into the height field,The height field displays an error message
TC_124_011,Verify the font size and typeface of the title,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the title 'Waist to Height Ratio' is centered, 24sp, bold, sans-serif","The title is centered, 24sp, bold, sans-serif"
TC_124_012,Verify the font size and typeface of the input fields,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the age field is left-aligned, 16sp, regular, sans-serif, Step 2: Verify the waist field is left-aligned, 16sp, regular, sans-serif, Step 3: Verify the height field is left-aligned, 16sp, regular, sans-serif","The age field is left-aligned, 16sp, regular, sans-serif, The waist field is left-aligned, 16sp, regular, sans-serif, The height field is left-aligned, 16sp, regular, sans-serif"
TC_124_013,Verify the font size and typeface of the units selection button,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the units selection button 'CM | KG' is right-aligned, 16sp, regular, sans-serif","The units selection button 'CM | KG' is right-aligned, 16sp, regular, sans-serif"
TC_124_014,Verify the font size and typeface of the result section,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the waist-to-height ratio is centered, 16sp, regular, sans-serif, Step 2: Verify the ideal waist is centered, 16sp, regular, sans-serif","The waist-to-height ratio is centered, 16sp, regular, sans-serif, The ideal waist is centered, 16sp, regular, sans-serif"
TC_124_015,Verify the font size and typeface of the list row,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the list row 'UnderWeight' is left-aligned, 16sp, regular, sans-serif, Step 2: Verify the list row 'Normal' is left-aligned, 16sp, regular, sans-serif, Step 3: Verify the list row 'OverWeight' is left-aligned, 16sp, regular, sans-serif, Step 4: Verify the list row 'Obese' is left-aligned, 16sp, regular, sans-serif, Step 5: Verify the list row 'Morbidly Obese' is left-aligned, 16sp, regular, sans-serif","The list row 'UnderWeight' is left-aligned, 16sp, regular, sans-serif, The list row 'Normal' is left-aligned, 16sp, regular, sans-serif, The list row 'OverWeight' is left-aligned, 16sp, regular, sans-serif, The list row 'Obese' is left-aligned, 16sp, regular, sans-serif, The list row 'Morbidly Obese' is left-aligned, 16sp, regular, sans-serif"
TC_124_016,Verify the background colors,Health and Fitness,124,list,P3,Accessibility,,,"Step 1: Verify the app bar background is light teal, Step 2: Verify the main content area background is white, Step 3: Verify the footer background is black","The app bar background is light teal, The main content area background is white, The footer background is black"
TC_124_017,Verify the touch target size of the 'Calculate' button,Health and Fitness,124,list,P3,Accessibility,,,Step 1: Verify the 'Calculate' button is at least 44x44px,The 'Calculate' button is at least 44x44px
TC_124_018,Verify the touch target size of the units selection button,Health and Fitness,124,list,P3,Accessibility,,,Step 1: Verify the units selection button 'CM | KG' is at least 44x44px,The units selection button 'CM | KG' is at least 44x44px
