test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_10594_001,Interactive Elements Test: 'GET STARTED' Button Functionality,Mobile Application Test Suite,10594-screenshot,unknown,P1,Functional,,,"Step 1: Navigate to the main screen., Step 2: Tap the 'GET STARTED' button.",Step 3: User should navigate to the search page after tapping the 'GET STARTED' button.
TC_10594_003,Social Media Icon Interaction Test: Opening Social Profiles,Mobile Application Test Suite,10594-screenshot,unknown,P3,Functional,,,"Step 1: Tap the Facebook icon., Step 2: Verify that the Facebook app or facebook.com opens., Step 3: Repeat step 1 for LinkedIn and Google Plus icons., Step 4: Verify that the respective platforms open.","Step 5: Upon clicking Facebook, verify that the correct URL loads., Step 6: Upon clicking LinkedIn, verify that the correct URL loads., Step 7: Upon clicking Google Plus, verify that the correct URL loads."
TC_10594_004,Map Interaction Test: Location Pin Click,Mobile Application Test Suite,10594-screenshot,unknown,P1,Functional,,,"Step 1: Zoom into the map view., Step 2: Tap the red pin marking a specific location., Step 3: Verify that details about the location are displayed.","Step 4: The location details should accurately reflect information associated with the red pin., Step 5: There should be no unexpected behavior when interacting with the map pin."
TC_10594_005,Profile Card Display Test: Correct Information Presentation,Mobile Application Test Suite,10594-screenshot,unknown,P2,Functional,,"UserPhoto: Jennifer, Title: Top Model","Step 1: Ensure the profile card shows the photo labeled 'Jennifer'., Step 2: Check that the title 'Top Model' is displayed under the photo.","Step 3: The profile card should contain accurate personal information matching the provided test data., Step 4: All text elements within the profile card should be readable and properly formatted."
TC_10594_006,Font Size Accessibility Test: Readability,Mobile Application Test Suite,10594-screenshot,unknown,P3,Accessibility,,,"Step 1: Verify that the heading font size is approximately 24sp., Step 2: Verify that the body text font size is around 16sp., Step 3: Verify that the caption font size is close to 12sp.","Step 4: Text elements should maintain readability across different devices and resolutions., Step 5: Users with visual impairments should be able to comfortably read all text elements."
TC_124_002,Input Validation for Age,Health App Interface,124,list,P2,Negative,,Age: -1 year,"Step 1: Enter '-1' into the Age field., Step 2: Attempt to calculate the waist to height ratio.",Step 3: Error message displaying an invalid age entry.
TC_124_003,Input Validation for Height,Health App Interface,124,list,P2,Negative,,Height: -100 cm,"Step 1: Enter '-100' into the Height field., Step 2: Attempt to calculate the waist to height ratio.",Step 3: Error message displaying an invalid height entry.
TC_124_005,List Category Selection Test,Health App Interface,124,list,P1,Functional,,Select 'Normal Weight' category,"Step 1: Locate the 'Normal Weight' category within the list., Step 2: Tap the 'Normal Weight' category.",Step 3: Confirm selection changes view to normal weight range information.
TC_124_006,Font Size Contrast Compliance,Health App Interface,124,list,P3,Accessibility,,,"Step 1: Review all text elements for compliance with WCAG AA standards regarding color contrast., Step 2: Check that font size meets minimum requirements for readability.","Step 3: All text elements meet the required contrast ratio of ≥4.5:1., Step 4: Text elements have appropriate font sizes ensuring readability."
TC_124_007,Touch Target Size Compliance,Health App Interface,124,list,P3,Accessibility,,,"Step 1: Measure touch target areas for interactive elements like buttons and tabs., Step 2: Verify that each touch target is at least 44x44 pixels.","Step 3: Confirm that all touch targets exceed the minimum size requirement., Step 4: No user errors due to insufficient touch target size."
TC_295_001,Interact with 'TOP LEADERS' List,Mobile App Test Suite,295,list,P1,Functional,,User: John Doe | XP: 1500 | Rank: 1,"Step 1: Tap on the 'TOP LEADERS' card., Step 2: Verify that John Doe's profile appears with 1500 XP.","John Doe should be listed under 'TOP LEADERS' with correct XP and rank., Profile details including name, XP, and rank should match the test data."
TC_295_002,Engage with 'You Are Next' Section,Mobile App Test Suite,295,list,P1,Functional,,Next User: Jane Smith | XP: 1200,"Step 1: Scroll down to the '... YOU ARE NEXT' section., Step 2: Tap on the entry for Jane Smith.","Jane Smith's information should be displayed correctly in the '... YOU ARE NEXT' section., Scroll behavior should allow easy access to the '... YOU ARE NEXT' section."
TC_295_003,Test CTA Button Functionality,Mobile App Test Suite,295,list,P1,Functional,,,"Step 1: Locate the CTA button within the '... YOU ARE NEXT' section., Step 2: Tap the CTA button.","The system should navigate to the appropriate page after tapping the CTA button., Navigation flow post-CTA tap should be consistent with expected outcomes."
TC_295_004,Verify Contrast Ratio Compliance,Mobile App Test Suite,295,list,P2,Accessibility,,,"Step 1: Check the contrast ratio between the text and its background in both the 'TOP LEADERS' and '... YOU ARE NEXT' sections., Step 2: Confirm compliance with WCAG AA standards (≥4.5:1)","Contrast ratios should meet or exceed the WCAG AA standard., Text visibility issues due to poor contrast should be absent."
TC_295_005,Check Text Size in '... YOU ARE NEXT' Section,Mobile App Test Suite,295,list,P2,Accessibility,,,"Step 1: Measure the font size used for the user names and XP in the '... YOU ARE NEXT' section., Step 2: Ensure the font size is at least 12sp to meet accessibility guidelines.","Font size for all text in the '... YOU ARE NEXT' section should be at least 12sp., Any deviation from the required font size should trigger an alert during testing."
