test_case_id,title,module,screen_id,topic,priority,type,preconditions,test_data,test_steps,expected_result
TC_10594-screenshot_001,Tap the GET STARTED button,Contact Identification and Search Application,10594-screenshot,unknown,P1,Functional,,,Step 1: Tap the 'GET STARTED' button,The user is navigated to a new screen
TC_10594-screenshot_002,Verify the search bar is functional,Contact Identification and Search Application,10594-screenshot,unknown,P2,Functional,,,"Step 1: Tap the search bar, Step 2: Enter '1234567890' into the search bar, Step 3: Tap the search icon",The search results display relevant contact information
TC_10594-screenshot_003,Verify the map displays a location pin,Contact Identification and Search Application,10594-screenshot,unknown,P2,Functional,,,Step 1: Observe the map,A red pin is displayed on the map indicating a location
TC_10594-screenshot_004,Verify the user profile card displays correct information,Contact Identification and Search Application,10594-screenshot,unknown,P2,Functional,,,Step 1: Observe the user profile card,"The profile picture, name 'Jennifer', and subtitle 'Top model' are displayed correctly"
TC_10594-screenshot_005,Verify the Facebook social media icon opens the Facebook app or website,Contact Identification and Search Application,10594-screenshot,unknown,P2,Functional,,,Step 1: Tap the Facebook social media icon,The Facebook app or facebook.com opens
TC_10594-screenshot_006,Verify the LinkedIn social media icon opens the LinkedIn app or website,Contact Identification and Search Application,10594-screenshot,unknown,P2,Functional,,,Step 1: Tap the LinkedIn social media icon,The LinkedIn app or linkedin.com opens
TC_10594-screenshot_007,Verify the Google+ social media icon opens the Google+ app or website,Contact Identification and Search Application,10594-screenshot,unknown,P2,Functional,,,Step 1: Tap the Google+ social media icon,The Google+ app or google.com/+ opens
TC_10594-screenshot_008,Verify the accessibility of the search bar,Contact Identification and Search Application,10594-screenshot,unknown,P3,Accessibility,,,Step 1: Verify the text in the search bar is readable and has good contrast,The text in the search bar meets the accessibility criteria
TC_10594-screenshot_009,Verify the accessibility of the social media icons,Contact Identification and Search Application,10594-screenshot,unknown,P3,Accessibility,,,Step 1: Verify the social media icons are easily distinguishable,The social media icons meet the accessibility criteria
TC_10594-screenshot_010,Verify the accessibility of the CTA button,Contact Identification and Search Application,10594-screenshot,unknown,P3,Accessibility,,,Step 1: Verify the CTA button is clearly labeled and has good contrast,The CTA button meets the accessibility criteria
TC_124_001,Tap the 'Waist to Height Ratio' title,Health and Fitness,124,list,P2,Functional,,,Step 1: Tap the 'Waist to Height Ratio' title,The screen remains unchanged
TC_124_002,Enter '26' into the age field,Health and Fitness,124,list,P2,Functional,,Age: 26,Step 1: Enter '26' into the age field,'26' remains visible in the age field
TC_124_003,Enter '-1' into the age field,Health and Fitness,124,list,P3,Negative,,Age: -1,Step 1: Enter '-1' into the age field,The age field displays an error message
TC_124_004,Select 'CM' in the units selection button,Health and Fitness,124,list,P2,Functional,,Unit: CM | KG,Step 1: Tap the 'CM | KG' button,'CM' is selected in the units selection button
TC_124_006,Enter '6' into the waist field,Health and Fitness,124,list,P2,Functional,,Waist: 6 cm,Step 1: Enter '6' into the waist field,'6 cm' remains visible in the waist field
TC_124_007,Enter '-1' into the waist field,Health and Fitness,124,list,P3,Negative,,Waist: -1 cm,Step 1: Enter '-1' into the waist field,The waist field displays an error message
