mr_id,source_tc_id,screen_id,topic,mr_category,transformation,expected_relation,decision,reason
MR-01,TC_10594-screenshot_001,10594-screenshot,unknown,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,keep,Core app behavior MR must be kept
MR-02,TC_10594-screenshot_005,10594-screenshot,unknown,INTERACTION_CONSISTENCY,Reverse tap order across 3 icon interactions,UI remains stable and no crash or inconsistent state occurs,keep,High fault detection potential — reveals real defects
MR-03,TC_10594-screenshot_006,10594-screenshot,unknown,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,reduce_repetitions,Redundant with MR-01
MR-04,TC_10594-screenshot_007,10594-screenshot,unknown,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,reduce_repetitions,Redundant with MR-01
MR-05,TC_10594-screenshot_005,10594-screenshot,unknown,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,reduce_repetitions,Redundant with MR-02
MR-01,TC_124_003,124,list,VALIDATION_CONSISTENCY,Change invalid value from -1 to -5,Same validation error should appear as with the original invalid value,keep,Core validation behavior — ensure consistent error messages
MR-02,TC_124_004,124,list,INVARIANCE,Switch unit from CM | KG to IN | LB,Computed ratio remains approximately the same after unit conversion,keep,Critical for ensuring unit independence in calculations
MR-03,TC_124_006,124,list,MONOTONICITY,Increase Waist from 6 to 26,Computed ratio should be greater than with Waist=6,keep,Core mathematical behavior — waist increase must raise ratio
MR-05,TC_124_001,124,list,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,keep,Critical for ensuring application stability under repeated actions
MR-08,TC_124_007,124,list,VALIDATION_CONSISTENCY,Change invalid value from -1 to -5,Same validation error should appear as with the original invalid value,keep,Different input field — ensures consistent error handling
MR-09,TC_124_009,124,list,VALIDATION_CONSISTENCY,Change invalid value from -1 to -5,Same validation error should appear as with the original invalid value,keep,Different input field — ensures consistent error handling
MR-06,TC_124_002,124,list,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,reduce_repetitions,Redundant with MR-05
MR-07,TC_124_004,124,list,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,reduce_repetitions,Redundant with MR-05
MR-04,TC_124_006,124,list,INPUT_TRANSFORMATION,Change Waist from 6 to 26,Computation completes successfully with updated output values,keep,Coverage rule: first MR of category must survive
MR-02,TC_295_001,295,list,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,high_priority_keep,Can reveal real defects
MR-04,TC_295_002,295,list,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,reduce_repetitions,Coverage rule: only the first ROBUSTNESS MR per screen is kept as the baseline; this is a repeat of the same category
MR-01,TC_295_001,295,list,INVARIANCE,Switch away from 'THIS COURSE' and back,Content and state of 'THIS COURSE' remain the same after switching away and back,keep,Core app behavior MR must be kept
MR-03,TC_295_002,295,list,INVARIANCE,Switch away from 'TOTAL' and back,Content and state of 'TOTAL' remain the same after switching away and back,keep,Core app behavior MR must be kept
MR-05,TC_295_003,295,list,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,reduce_repetitions,Coverage rule: only the first ROBUSTNESS MR per screen is kept as the baseline; this is a repeat of the same category
MR-06,TC_295_004,295,list,ROBUSTNESS,Repeat the primary action a second time,App does not crash or show an inconsistent state on repeated action,reduce_repetitions,"Multiple ROBUSTNESS MRs for the same action, reduce repetitions"
