mr_id,source_tc_id,screen_id,topic,mr_category,transformation,follow_up_steps,follow_up_test_data,expected_relation,confidence
MR-01,TC_10594-screenshot_001,10594-screenshot,unknown,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the 'GET STARTED' button, Step 2: Tap the 'GET STARTED' button (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-02,TC_10594-screenshot_005,10594-screenshot,unknown,INTERACTION_CONSISTENCY,Reverse tap order across 3 icon interactions,"Step 1: Tap the Google+ social media icon, Step 2: Tap the LinkedIn social media icon, Step 3: Tap the Facebook social media icon",Same as source tests,UI remains stable and no crash or inconsistent state occurs,high
MR-03,TC_10594-screenshot_006,10594-screenshot,unknown,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the LinkedIn social media icon, Step 2: Tap the LinkedIn social media icon (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-04,TC_10594-screenshot_007,10594-screenshot,unknown,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the Google+ social media icon, Step 2: Tap the Google+ social media icon (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-05,TC_10594-screenshot_005,10594-screenshot,unknown,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the Facebook social media icon, Step 2: Tap the Facebook social media icon (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-01,TC_124_003,124,list,VALIDATION_CONSISTENCY,Change invalid value from -1 to -5,Step 1: Enter '-5' into the age field,Invalid value: -5,Same validation error should appear as with the original invalid value,high
MR-02,TC_124_004,124,list,INVARIANCE,Switch unit from CM | KG to IN | LB,"Step 1: Tap the 'CM | KG' button, Step 2: Tap the 'IN | LB' button",Unit: IN | LB,Computed ratio remains approximately the same after unit conversion,high
MR-03,TC_124_006,124,list,MONOTONICITY,Increase Waist from 6 to 26,Step 1: Enter '26' into the waist field,Waist: 26 cm,Computed ratio should be greater than with Waist=6,high
MR-04,TC_124_006,124,list,INPUT_TRANSFORMATION,Change Waist from 6 to 26,Step 1: Enter '26' into the waist field,Waist: 26 cm,Computation completes successfully with updated output values,high
MR-05,TC_124_001,124,list,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the 'Waist to Height Ratio' title, Step 2: Tap the 'Waist to Height Ratio' title (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-06,TC_124_002,124,list,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Enter '26' into the age field, Step 2: Enter '26' into the age field (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-07,TC_124_004,124,list,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the 'CM | KG' button, Step 2: Tap the 'CM | KG' button (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-08,TC_124_007,124,list,VALIDATION_CONSISTENCY,Change invalid value from -1 to -5,Step 1: Enter '-5' into the waist field,Invalid value: -5,Same validation error should appear as with the original invalid value,medium
MR-09,TC_124_009,124,list,VALIDATION_CONSISTENCY,Change invalid value from -1 to -5,Step 1: Enter '-5' into the height field,Invalid value: -5,Same validation error should appear as with the original invalid value,medium
MR-01,TC_295_001,295,list,INVARIANCE,Switch away from 'THIS COURSE' and back,"Step 1: Tap the 'THIS COURSE' tab, Step 2: Tap a different tab, then tap 'THIS COURSE' again",Same as source test,Content and state of 'THIS COURSE' remain the same after switching away and back,medium
MR-02,TC_295_001,295,list,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the 'THIS COURSE' tab, Step 2: Tap the 'THIS COURSE' tab (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-03,TC_295_002,295,list,INVARIANCE,Switch away from 'TOTAL' and back,"Step 1: Tap the 'TOTAL' tab, Step 2: Tap a different tab, then tap 'TOTAL' again",Same as source test,Content and state of 'TOTAL' remain the same after switching away and back,medium
MR-04,TC_295_002,295,list,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the 'TOTAL' tab, Step 2: Tap the 'TOTAL' tab (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-05,TC_295_003,295,list,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the CTA button in the footer, Step 2: Tap the CTA button in the footer (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
MR-06,TC_295_004,295,list,ROBUSTNESS,Repeat the primary action a second time,"Step 1: Tap the floating action button in the footer, Step 2: Tap the floating action button in the footer (repeat a second time)",Same as source test,App does not crash or show an inconsistent state on repeated action,high
